sku,title,source_url,filename,status
PKM-PRE-PC-EN,Pokemon TCG: Blooming Waters Premium Collection,https://www.tcgplayer.com/product/609597/pokemon-miscellaneous-cards-and-products-blooming-waters-premium-collection?page=1,PKM-PRE-PC-EN.jpg,ok
PKM-PRE-TIN-EN,Pokemon TCG: Azure Legends Tin (Kyogre),https://www.tcgplayer.com/product/619075/pokemon-miscellaneous-cards-and-products-azure-legends-tins-set-of-3?page=1,,dl-failed
PKM-PRE-TIN-EN-2,Pokemon TCG: Azure Legends Tin (Suicune),https://www.tcgplayer.com/product/616292/pokemon-miscellaneous-cards-and-products-azure-legends-tin-kyogre-ex?page=1,PKM-PRE-TIN-EN-2.jpg,ok
PKM-JTG-SBP-EN,Pokemon TCG: SV Journey Together Sleeved Booster Pack,https://www.tcgplayer.com/product/610934/pokemon-sv09-journey-together-journey-together-sleeved-booster-pack?page=1,PKM-JTG-SBP-EN.jpg,ok
PKM-JTG-BB-EN,Pokemon TCG: SV Journey Together Booster Bundle,https://www.tcgplayer.com/product/610953/pokemon-sv09-journey-together-journey-together-booster-bundle?page=1,PKM-JTG-BB-EN.jpg,ok
PKM-JTG-BX-EN,Pokemon TCG: SV Journey Together Booster Box,https://www.tcgplayer.com/product/610931/pokemon-sv09-journey-together-journey-together-booster-box?page=1,,dl-failed
PKM-JTG-ETB-EN,Pokemon TCG: SV Journey Together Elite Trainer Box,https://www.tcgplayer.com/product/610930/pokemon-sv09-journey-together-journey-together-elite-trainer-box?page=1,PKM-JTG-ETB-EN.jpg,ok
PKM-JTG-PCETB-EN,Pokemon TCG: SV Journey Together Pokemon Center ETB,https://www.tcgplayer.com/product/610929/pokemon-sv09-journey-together-journey-together-pokemon-center-elite-trainer-box-exclusive?page=1,PKM-JTG-PCETB-EN.jpg,ok
PKM-JTG-BNB-EN,Pokemon TCG: SV Journey Together Build and Battle Box,https://www.tcgplayer.com/product/610954/pokemon-sv09-journey-together-journey-together-build-and-battle-box?page=1,PKM-JTG-BNB-EN.jpg,ok
PKM-JTG-BL3-EN,Pokemon TCG: SV Journey Together 3-Pack Blister (Pikachu),https://www.tcgplayer.com/product/610940/pokemon-sv09-journey-together-journey-together-3-pack-blister-yanmega?page=1,PKM-JTG-BL3-EN.jpg,ok
PKM-JTG-BL3-EN-2,Pokemon TCG: SV Journey Together 3-Pack Blister (Mewtwo),https://www.tcgplayer.com/product/610950/pokemon-sv09-journey-together-journey-together-single-pack-blister-yanma?page=1,PKM-JTG-BL3-EN-2.jpg,ok
PKM-JTG-UPC-EN,Pokemon TCG: Greninja ex Ultra Premium Collection,https://www.tcgplayer.com/product/594491/pokemon-miscellaneous-cards-and-products-greninja-ex-ultra-premium-collection?page=1,PKM-JTG-UPC-EN.jpg,ok
PKM-DRI-SBP-EN,Pokemon TCG: SV Destined Rivals Sleeved Booster Pack,https://www.tcgplayer.com/product/624684/pokemon-sv10-destined-rivals-destined-rivals-sleeved-booster-pack?page=1,PKM-DRI-SBP-EN.jpg,ok
PKM-DRI-BB-EN,Pokemon TCG: SV Destined Rivals Booster Bundle,https://www.tcgplayer.com/product/625670/pokemon-sv10-destined-rivals-destined-rivals-booster-bundle?page=1,PKM-DRI-BB-EN.jpg,ok
PKM-DRI-BX-EN,Pokemon TCG: SV Destined Rivals Booster Box,https://www.tcgplayer.com/product/624679/pokemon-sv10-destined-rivals-destined-rivals-booster-box?page=1,PKM-DRI-BX-EN.jpg,ok
PKM-DRI-ETB-EN,Pokemon TCG: SV Destined Rivals Elite Trainer Box,https://www.tcgplayer.com/product/624676/pokemon-sv10-destined-rivals-destined-rivals-elite-trainer-box?page=1,PKM-DRI-ETB-EN.jpg,ok
PKM-DRI-PCETB-EN,Pokemon TCG: SV Destined Rivals Pokemon Center ETB,https://www.tcgplayer.com/product/624675/pokemon-sv10-destined-rivals-destined-rivals-pokemon-center-elite-trainer-box-exclusive?page=1,PKM-DRI-PCETB-EN.jpg,ok
PKM-DRI-BNB-EN,Pokemon TCG: SV Destined Rivals Build and Battle Box,https://www.tcgplayer.com/product/625677/pokemon-sv10-destined-rivals-destined-rivals-build-and-battle-box?page=1,PKM-DRI-BNB-EN.jpg,ok
PKM-DRI-BL3-EN,Pokemon TCG: SV Destined Rivals 3-Pack Blister,https://www.tcgplayer.com/product/635328/pokemon-sv10-destined-rivals-destined-rivals-3-pack-blister-set-of-2?page=1,,dl-failed
